Timestamp,"1. Do you have a social media account? (e.g., Facebook, Twitter, etc.)",2. Which social media account do you use usually?,3. Which device do you usually use to connect social media?,4. Which type of internet connection do you use?,5. How long have you been using a social media account?,6. How frequently do you post (upload status or add photos/videos) on social media? ,7. How much time do you spend daily in social media?,8. When do you usually use social media?,9. How many friends do you have on social media?,10. How many friends do you know personally in social media? ,11. How many groups you are tagged in social media?,12. What is your main purpose for using social media (e.g. Facebook)?,13. What contents do you mainly look for in your social media news feed?,14.Do you believe social media is a good thing?,"15. When you see something in social media, do you instantly believe it?",16. Have you ever experienced peer pressure due to social media?,"17. Does your emotion get influenced by other's posts (success, failure, loss)? ",18. Have you ever compared yourself with other’s success or luxurious life?,"19. Do you think, your mental wellbeing would be better if you do not use social media?","20. If answer is yes, are you trying to control that thing and trying to reduce the use of social media?",21. Please write your age in years (number).,22. Gender,23. Marital Status,24. Religion,25. Education,26. Profession,27. Monthly income,28. Area of residence,29. Living with-,30. Body weight (Kg),31. Height (m),32. Smoking habit,"1. In the past 30 days, do you feel lack of companionship?","2. In the past 30 days, there is no one I can turn to","3. In the past 30 days, I feel left out.","4. In the last 30 days, I feel isolated from others.","5. In the last 30 days, I am unhappy being so withdrawn.","6. In the last 30 days, people are around me but not with me.","7. In the last 30 days, I am an outgoing person.","8. In the last 30 days, I can find companionship when I want it.","1 In the last 30 days, little interest or pleasure in doing things.","2. In the last 30 days, feeling down, depressed or hopeless.","3. In the last 30 days, trouble falling or staying asleep, sleeping too much","4. In the last 30 days, Feeling tired or having little energy.","5. In the last 30 days, poor appetite or over-eating.","6. In the last 30 days, feeling bad about yourself-or that you are a failure or have let yourself or your family down.","7. In the last 30 days, trouble concentrating on things, such as reading the newspaper or watching television.","8. In the last 30 days, moving or speaking so slowly or the opposite-moving around a lot more than usual.","9. In the last 30 days, thoughts that you would be better off dead, or of hurting yourself.","1. In the last 30 days, I am feeling nervous, anxious, or on edge","2. In the last 30 days, I an not being able to stop or control worrying","3. In the last 30 days, I am worrying too much about different things.","4. In the last 30 days, I felt trouble in relaxing.","5. In the last 30 days, I am being so restless that it's hard to sit still","6. In the last 30 days, I becoming easily annoyed or irritable.","7. In the last 30 days, I am feeling afraid as if something awful might happen.",1. When I am usually gone to bed?,2. How long (in minutes) has it taken you to fall asleep each night?,3. When have you usually gotten up in the morning?,4. How many hours of actual sleep do you get at night?,5.  How many hours were you in bed?,"6. In last 30 days, How many times, I cannot get to sleep within 30 minutes?","7. In last 30 days, How many times, I wake up in the middle of the night or early morning?","8. In last 30 days, How many times, I had to get up to use the bathroom?","9. In last 30 days, How many times, I cannot breathe comfortably?","10. In last 30 days, How many times, I cough or snore loudly?","11. In last 30 days, How many times, I feel too cold?","12. In last 30 days, How many times, I feel too hot?","13. In last 30 days, How many times, I saw bad dreams?","14. In last 30 days, How many times, I have pain during sleep?","15. In last 30 days, How many times, I having trouble sleeping for any other reason?","16. In last 30 days, In last month, have you take medicines for sleep?","17. In last month, how many times you cannot sleep due to any program or other important case?","18. In last month, how many times you face problems to maintain program or other important case?","19. During the past month, how would you rate your sleep quality overall?"
,Yes,Twitter,Mobile Phone,Mobile data,Less than 2-year,Less than 1 per day,1-3 hours,,500-2000,Few of them,Less than 5,To make new friends,Get pleasure from funny posts/ memes,Yes,Yes,No,Always,Most of the times,Yes,Trying to reduce the use,18.0,,Unmarried,Muslim,Secondary Level,,No income,Rural Area,With family,45.0,,,Sometimes,Rarely,Rarely,Never,Sometimes,Never,Often,Often,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Several days,Not at all,Half days,Not at all,Several days,Not at all,10.01 PM to 12.00 AM,Within 15 minutes,,4-6 hours,,Not during last month,Not during last month,Less then once a week,Not during last month,Three or more in week,Less then once a week,Not during last month,Not during last month,Not during last month,,Not during last month,,,Farely good
2021-02-26 13:30:01.848,Yes,,Mobile Phone,Broadband (Wi-Fi),,3-5 per day,1-3 hours,Night to late night,500-2000,All of them,,To stay connected with people,To stay connected with people,Yes,No,Yes,,Never,No,,23.0,Female,Unmarried,Muslim,,Private job,"10,000-40,000 Tk",Rural Area,With family,45.0,1.5494,Non-smoker,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Several days,,16-30,7.01 AM to 9.00 AM,,8-10 hours,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Farely good
,Yes,Facebook,Mobile Phone,,2-5 years,Less than 1 per day,1-3 hours,Frequently at anytime,Less than 500,Few of them,10-20,To make new friends,To stay connected with people,Yes,Yes,Yes,Sometimes,Most of the times,No,Not trying,17.0,Male,Unmarried,Hindu,Secondary Level,,No income,Rural Area,With family,48.0,1.6001999999999998,Smoker,,Never,Never,Rarely,Never,Sometimes,Sometimes,Sometimes,Several days,Several days,Several days,Half of days,Half of days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,10.01 PM to 12.00 AM,Within 15 minutes,5.01 AM to 7.00 AM,4-6 hours,5-7 hours,Not during last month,Three or more in week,Three or more in week,Three or more in week,Three or more in week,Less then once a week,Three or more in week,Less then once a week,Three or more in week,Three or more in week,Three or more in week,Three or more in week,Three or more in week,Very bad
2021-02-22 11:53:39.758,Yes,,Mobile Phone,Broadband (Wi-Fi),2-5 years,Less than 1 per day,Less than 1 hour,Evening,Less than 500,Most of them,Less than 5,To stay connected with people,Motivational/ informative contents,Yes,No,No,Not at all,Never,,Not trying,25.0,Female,Married,Muslim,,,"10,000-40,000 Tk",Urban Area,With family,48.0,1.6001999999999998,,Rarely,Never,Never,Never,Never,Never,Never,Never,Not at all,Not at all,Not at all,Not at all,Not at all,,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,8.00 PM to 10.00 PM,Within 15 minutes,5.01 AM to 7.00 AM,7-8 hours,5-7 hours,Less then once a week,Not during last month,Once or twice a week,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Very good
2021-02-20 21:22:17.481,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),5-10 years,More than 5 per day,More than 5 hours,Frequently at anytime,,Most of them,More than 20,,To stay connected with people,No,No,No,Sometimes,Most of the times,Yes,Trying to reduce the use,25.0,Female,Unmarried,Muslim,Masters or above,,No income,Urban Area,With family,,1.6001999999999998,Non-smoker,Sometimes,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Several days,Several days,Not at all,Several days,Not at all,Several days,Several days,Not at all,Not at all,Several days,Half days,Half days,Half days,Half days,Several days,Several days,12.01 AM to 2.00 AM,Within 15 minutes,After 9.00 AM,4-6 hours,8-10 hours,Once or twice a week,Not during last month,Three or more in week,Not during last month,Less then once a week,Not during last month,,Less then once a week,,Not during last month,Not during last month,Less then once a week,Not during last month,Farely good
2021-02-21 19:10:19.341,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),5-10 years,Less than 1 per day,1-3 hours,Frequently at anytime,500-2000,Most of them,5-10,To stay connected with people,Updates of current affairs/news,Yes,No,No,Not at all,Never,No,Not trying,,Male,Unmarried,Muslim,Masters or above,Unemployed including students,No income,Urban Area,With family,56.0,1.7271999999999998,Non-smoker,Never,,Never,Never,Sometimes,Rarely,Rarely,Never,Several days,Several days,Several days,Several days,Several days,Several days,Nearly everyday,Several days,Not at all,Several days,Nearly everyday,Nearly everyday,Not at all,Not at all,Several days,Not at all,10.01 PM to 12.00 AM,,5.01 AM to 7.00 AM,4-6 hours,Less than 5 hours,Once or twice a week,Once or twice a week,Once or twice a week,Less then once a week,Less then once a week,Less then once a week,Not during last month,Not during last month,Not during last month,Once or twice a week,Not during last month,Once or twice a week,Once or twice a week,Farely good
2021-02-19 23:48:16.020,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),2-5 years,1-2 per day,3-5 hours,Night to late night,500-2000,Most of them,10-20,To stay connected with people,To stay connected with people,Yes,,,Sometimes,All the times,Yes,Not trying,,Male,Unmarried,Muslim,Graduate Level,Unemployed including students,No income,Urban Area,With family,58.0,1.7526,Smoker,Never,Never,Never,,Never,Sometimes,Sometimes,Sometimes,Nearly everyday,,Half of days,Several days,Several days,Several days,Several days,Half of days,Several days,Several days,Several days,Half days,Several days,,Several days,Half days,12.01 AM to 2.00 AM,Within 15 minutes,5.01 AM to 7.00 AM,7-8 hours,Less than 5 hours,Three or more in week,Three or more in week,Three or more in week,Once or twice a week,Once or twice a week,Once or twice a week,Once or twice a week,Once or twice a week,Once or twice a week,Not during last month,Three or more in week,Three or more in week,Three or more in week,Very bad
2021-02-26 21:37:56.282,Yes,Facebook,Mobile Phone,Mobile data,2-5 years,Less than 1 per day,More than 5 hours,Frequently at anytime,Less than 500,,,To stay connected with people,Get pleasure from funny posts/ memes,Yes,No,No,Always,All the times,No,Not trying,35.0,,Married,Muslim,Primary level,Daily labor/driver/housemaid,"10,000-40,000 Tk",Urban Area,Without family,50.0,1.6256,Smoker,Often,Sometimes,Sometimes,Sometimes,Often,,Sometimes,Often,Not at all,Not at all,Half of days,Not at all,Several days,Several days,Several days,Not at all,Not at all,Several days,Half days,Nearly everyday,Nearly everyday,Several days,Several days,Several days,10.01 PM to 12.00 AM,Within 15 minutes,Within 5.00 AM,4-6 hours,5-7 hours,Once or twice a week,Once or twice a week,Once or twice a week,Three or more in week,,Three or more in week,Not during last month,Less then once a week,Not during last month,Not during last month,Once or twice a week,Not during last month,Not during last month,Farely good
,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),,3-5 per day,3-5 hours,Evening,500-2000,Many of them,,,To stay connected with people,Yes,Yes,Yes,Always,Never,Yes,Trying to reduce the use,15.0,Male,Unmarried,Muslim,Secondary Level,Unemployed including students,No income,Rural Area,With family,50.0,1.6256,Non-smoker,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Several days,Several days,,Several days,Several days,Several days,Not at all,Not at all,Not at all,Several days,Several days,Several days,,Several days,Several days,Several days,10.01 PM to 12.00 AM,16-30,5.01 AM to 7.00 AM,4-6 hours,,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Very good
2021-03-01 21:24:24.158,,Facebook,Mobile Phone,Mobile data,2-5 years,Less than 1 per day,Less than 1 hour,Frequently at anytime,Less than 500,Most of them,Less than 5,For time pass,Get pleasure from funny posts/ memes,,,No,,Never,Yes,Trying to reduce the use,46.0,Female,Married,Muslim,Primary level,Housewife ,,Rural Area,With family,,1.6256,,Never,Never,,,Rarely,Never,Never,Never,Several days,Half of days,Several days,,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Half days,Several days,Half days,Several days,Not at all,,More than 62,,4-6 hours,5-7 hours,Not during last month,,Once or twice a week,Less then once a week,Less then once a week,Not during last month,Not during last month,Less then once a week,,Not during last month,Not during last month,Not during last month,Not during last month,Farely good
2021-03-01 15:09:23.057,Yes,Facebook,,Broadband (Wi-Fi),5-10 years,1-2 per day,More than 5 hours,Frequently at anytime,500-2000,Most of them,More than 20,To stay connected with people,To stay connected with people,Yes,,No,Sometimes,Never,No,Not trying,20.0,Male,Unmarried,Muslim,Graduate Level,Unemployed including students,No income,Urban Area,With family,50.0,1.6256,Non-smoker,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Nearly everyday,Half of days,Half of days,Half of days,Half of days,Not at all,Half of days,Half of days,Several days,Several days,Several days,Not at all,Several days,Half days,Several days,Not at all,10.01 PM to 12.00 AM,16-30,5.01 AM to 7.00 AM,7-8 hours,8-10 hours,Three or more in week,Once or twice a week,Less then once a week,Not during last month,Once or twice a week,Less then once a week,Three or more in week,Less then once a week,Once or twice a week,,Three or more in week,Not during last month,Less then once a week,Farely good
2021-02-15 20:33:31.961,Yes,Facebook,Mobile Phone,Mobile data,More than 10 years,Less than 1 per day,1-3 hours,,500-2000,Many of them,,To stay connected with people,Updates of current affairs/news,Yes,No,No,Not at all,Never,Yes,Not trying,30.0,Female,Married,Muslim,Masters or above,Private job,"10,000-40,000 Tk",Urban Area,With family,50.0,1.6256,Non-smoker,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Sometimes,Several days,Half of days,Several days,Several days,Several days,,Not at all,Several days,Not at all,Several days,Several days,Several days,Half days,Several days,Half days,,10.01 PM to 12.00 AM,Within 15 minutes,After 9.00 AM,7-8 hours,8-10 hours,Not during last month,Less then once a week,Less then once a week,Not during last month,Not during last month,Once or twice a week,Not during last month,Less then once a week,Not during last month,Not during last month,Less then once a week,Once or twice a week,Less then once a week,Very bad
2021-03-06 22:21:12.547,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),5-10 years,3-5 per day,3-5 hours,,Less than 500,Few of them,5-10,To stay connected with people,To stay connected with people,Yes,Yes,Yes,Sometimes,Most of the times,Yes,Trying to reduce the use,20.0,Male,Unmarried,Hindu,Graduate Level,Unemployed including students,No income,Rural Area,With family,47.0,1.5748,Non-smoker,Never,Never,Never,Never,Never,Never,Often,Often,Several days,Several days,Several days,Not at all,Several days,Not at all,Nearly everyday,Not at all,Not at all,Not at all,Several days,Several days,Several days,Not at all,Not at all,Not at all,,16-30,7.01 AM to 9.00 AM,4-6 hours,,Less then once a week,Less then once a week,,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Three or more in week,Three or more in week,Very bad
2021-03-01 09:23:17.956,Yes,,Desktop,Broadband (Wi-Fi),,More than 5 per day,3-5 hours,Night to late night,500-2000,Many of them,10-20,To make new friends,To stay connected with people,Yes,No,Yes,Always,,No,,17.0,Male,Unmarried,Buddho,Secondary Level,Unemployed including students,No income,Rural Area,With family,55.0,1.7018,,Never,Rarely,Sometimes,Sometimes,Sometimes,,,Often,Several days,Not at all,Not at all,Half of days,Not at all,Not at all,Nearly everyday,Not at all,Not at all,Half days,Half days,Not at all,Half days,Half days,Half days,Half days,12.01 AM to 2.00 AM,31-60,5.01 AM to 7.00 AM,,5-7 hours,Three or more in week,Once or twice a week,Three or more in week,Not during last month,Not during last month,Not during last month,Once or twice a week,,Less then once a week,Less then once a week,Not during last month,Less then once a week,Less then once a week,Very good
2021-03-06 10:21:23.811,,Facebook,Mobile Phone,Broadband (Wi-Fi),,3-5 per day,1-3 hours,Afternoon,500-2000,Many of them,5-10,To make new friends,Updates of current affairs/news,,Yes,Yes,Sometimes,Most of the times,Yes,Trying to reduce the use,19.0,Male,Unmarried,Muslim,Secondary Level,Self-employed/Entrepreneur/Business,"10,000-40,000 Tk",Rural Area,With family,55.0,1.7018,Non-smoker,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Often,Often,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Not at all,Not at all,Not at all,Several days,Several days,Several days,Not at all,Not at all,10.01 PM to 12.00 AM,16-30,5.01 AM to 7.00 AM,4-6 hours,5-7 hours,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Once or twice a week,Less then once a week,Farely good
2021-02-22 15:04:42.633,Yes,WhatsApp,Mobile Phone,Broadband (Wi-Fi),5-10 years,Less than 1 per day,Less than 1 hour,Frequently at anytime,500-2000,Most of them,10-20,Running business,,Yes,No,Yes,,Never,Yes,Trying to stop the use,28.0,Female,Unmarried,Muslim,Masters or above,Unemployed including students,No income,Urban Area,,40.0,1.4478,Non-smoker,Never,Never,Never,Never,,Never,Rarely,Often,Nearly everyday,Several days,Not at all,Several days,Several days,Not at all,Not at all,Not at all,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,12.01 AM to 2.00 AM,Within 15 minutes,After 9.00 AM,7-8 hours,8-10 hours,Once or twice a week,,Less then once a week,Not during last month,Not during last month,Once or twice a week,Not during last month,Less then once a week,Not during last month,Once or twice a week,Not during last month,Once or twice a week,Less then once a week,Very good
2021-02-22 12:52:07.758,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),2-5 years,3-5 per day,,Frequently at anytime,500-2000,Many of them,5-10,To stay connected with people,Get pleasure from funny posts/ memes,Yes,No,Yes,Sometimes,Most of the times,,,20.0,Male,Unmarried,Muslim,,Unemployed including students,No income,Urban Area,With family,57.0,1.7271999999999998,Non-smoker,Never,Never,Never,Rarely,Rarely,Never,Often,Often,Several days,,Nearly everyday,Nearly everyday,Half of days,Nearly everyday,Nearly everyday,Several days,,Half days,Nearly everyday,Nearly everyday,Nearly everyday,Half days,Several days,Nearly everyday,2.01 AM to 5.00 AM,Within 15 minutes,After 9.00 AM,4-6 hours,5-7 hours,Once or twice a week,Less then once a week,Less then once a week,Not during last month,Not during last month,Less then once a week,Not during last month,Less then once a week,,Less then once a week,Not during last month,,Not during last month,Very bad
2021-03-05 18:59:09.915,Yes,Instagram,Mobile Phone,Broadband (Wi-Fi),,3-5 per day,,Afternoon,500-2000,Many of them,5-10,To make new friends,Updates of current affairs/news,Yes,Yes,Yes,Always,Most of the times,Yes,Trying to reduce the use,19.0,Female,,Muslim,Secondary Level,Unemployed including students,No income,Rural Area,With family,49.0,,Non-smoker,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Often,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,10.01 PM to 12.00 AM,16-30,,4-6 hours,5-7 hours,Not during last month,Not during last month,Not during last month,Not during last month,Less then once a week,Not during last month,Less then once a week,Less then once a week,Once or twice a week,Once or twice a week,Not during last month,,Less then once a week,Farely good
2021-03-06 13:19:57.499,Yes,Facebook,Mobile Phone,Mobile data,2-5 years,1-2 per day,1-3 hours,Afternoon,500-2000,Few of them,Less than 5,,,Yes,Yes,Yes,Sometimes,All the times,Yes,Trying to stop the use,18.0,Male,Unmarried,,Primary level,Daily labor/driver/housemaid,"10,000-40,000 Tk",Rural Area,With family,49.0,1.6001999999999998,Smoker,Rarely,,Sometimes,Rarely,,Sometimes,Sometimes,Sometimes,Half of days,Several days,Not at all,Nearly everyday,Several days,Not at all,Half of days,Not at all,Several days,Not at all,Several days,Half days,Several days,Several days,Several days,Several days,10.01 PM to 12.00 AM,Within 15 minutes,5.01 AM to 7.00 AM,4-6 hours,5-7 hours,Not during last month,Less then once a week,Three or more in week,Not during last month,Once or twice a week,Not during last month,Once or twice a week,Not during last month,Not during last month,Not during last month,Not during last month,Less then once a week,Once or twice a week,Farely good
2021-03-05 14:46:13.594,Yes,Snapchat,Tablet,Broadband (Wi-Fi),Less than 2-year,Less than 1 per day,1-3 hours,Evening,Less than 500,All of them,Less than 5,,Updates of people,Yes,Yes,No,Sometimes,Never,Yes,Not trying,20.0,Female,Married,Muslim,Secondary Level,Unemployed including students,No income,Rural Area,With family,49.0,1.6001999999999998,Non-smoker,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,,Several days,Several days,Several days,Several days,,Several days,,16-30,5.01 AM to 7.00 AM,,5-7 hours,,Not during last month,Not during last month,Not during last month,,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Very good
2021-03-07 22:48:02.307,Yes,Facebook,Tablet,Broadband (Wi-Fi),Less than 2-year,Less than 1 per day,Less than 1 hour,Afternoon,500-2000,Many of them,5-10,For time pass,Updates of people,Yes,,,Sometimes,Most of the times,Yes,Trying to stop the use,20.0,Female,,Muslim,Secondary Level,,No income,Rural Area,With family,49.0,1.6001999999999998,Non-smoker,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Often,Sometimes,Several days,Not at all,Several days,Not at all,Not at all,Not at all,Nearly everyday,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Half days,Not at all,10.01 PM to 12.00 AM,,7.01 AM to 9.00 AM,4-6 hours,8-10 hours,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,,Not during last month,Not during last month,Not during last month,Not during last month,Very good
2021-03-06 23:28:32.313,Yes,Facebook,Tablet,Mobile data,5-10 years,Less than 1 per day,,Frequently at anytime,Less than 500,Many of them,Less than 5,,Updates of people,,Yes,Yes,Not at all,All the times,Yes,Trying to stop the use,,Male,Unmarried,Muslim,Secondary Level,Unemployed including students,No income,Rural Area,With family,49.0,,Smoker,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Several days,Several days,,Half of days,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,10.01 PM to 12.00 AM,16-30,5.01 AM to 7.00 AM,4-6 hours,8-10 hours,Less then once a week,Less then once a week,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Less then once a week,Not during last month,Less then once a week,Not during last month,Not during last month,Very good
2021-03-01 21:14:53.969,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),5-10 years,3-5 per day,3-5 hours,Evening,2000-4000,Most of them,,To stay connected with people,To stay connected with people,Yes,Yes,Yes,Sometimes,Most of the times,Yes,Trying to stop the use,15.0,Male,Unmarried,Muslim,Primary level,Daily labor/driver/housemaid,"10,000-40,000 Tk",Rural Area,With family,49.0,1.6001999999999998,Smoker,Rarely,Rarely,Rarely,,Rarely,Rarely,,Rarely,Several days,Several days,,Several days,,Not at all,,Several days,Several days,Several days,,Several days,Several days,Several days,Several days,Several days,10.01 PM to 12.00 AM,16-30,7.01 AM to 9.00 AM,4-6 hours,8-10 hours,,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,Less then once a week,,Not during last month,Not during last month,Not during last month,,Less then once a week,Farely good
2021-03-09 14:58:47.368,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),More than 10 years,Less than 1 per day,1-3 hours,Frequently at anytime,Less than 500,Many of them,,For time pass,Updates of people,Yes,,Yes,Sometimes,Never,No,Not trying,,,Married,,Masters or above,Private job,,Rural Area,With family,70.0,1.905,Non-smoker,Never,Never,Never,Never,Never,Never,Never,Never,Not at all,Not at all,,Several days,Several days,Several days,,Several days,Not at all,Several days,Several days,,,Several days,Several days,Several days,,Within 15 minutes,Within 5.00 AM,4-6 hours,5-7 hours,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Farely good
2021-02-14 19:20:02.769,Yes,Facebook,Mobile Phone,,,Less than 1 per day,3-5 hours,Frequently at anytime,500-2000,Many of them,10-20,To stay connected with people,,Yes,No,Yes,Sometimes,Never,Yes,Trying to stop the use,23.0,Female,Unmarried,,Graduate Level,Unemployed including students,No income,Urban Area,With family,56.0,1.7018,Non-smoker,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Several days,,Nearly everyday,Half of days,Several days,Nearly everyday,Half of days,Half of days,Nearly everyday,Nearly everyday,Nearly everyday,Nearly everyday,Nearly everyday,,Nearly everyday,Nearly everyday,12.01 AM to 2.00 AM,Within 15 minutes,5.01 AM to 7.00 AM,4-6 hours,More than 10 hours,Three or more in week,,Three or more in week,Three or more in week,Less then once a week,Less then once a week,Less then once a week,Once or twice a week,Three or more in week,Three or more in week,Once or twice a week,Three or more in week,Once or twice a week,Very bad
2021-02-27 13:14:01.978,Yes,WhatsApp,Mobile Phone,Mobile data,,,,Frequently at anytime,2000-4000,,,To stay connected with people,Studying,Yes,Yes,Yes,Always,,No,Not trying,18.0,Female,Unmarried,Muslim,Secondary Level,Unemployed including students,,Rural Area,With family,48.0,1.5748,Non-smoker,Never,Never,Never,Never,Never,Never,Often,Often,Several days,Several days,Not at all,Not at all,Not at all,Half of days,,Several days,Half of days,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,12.01 AM to 2.00 AM,Within 15 minutes,,4-6 hours,5-7 hours,,Less then once a week,Not during last month,,Less then once a week,Less then once a week,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Very good
2021-03-06 09:03:20.414,Yes,Facebook,Mobile Phone,,2-5 years,1-2 per day,,Afternoon,500-2000,Many of them,10-20,To stay connected with people,To stay connected with people,Yes,Yes,Yes,Sometimes,All the times,Yes,,,Male,Unmarried,Muslim,Primary level,Daily labor/driver/housemaid,"10,000-40,000 Tk",Rural Area,With family,48.0,1.5748,Non-smoker,Rarely,,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Several days,,Not at all,Nearly everyday,Nearly everyday,Not at all,Nearly everyday,Several days,Several days,Several days,Several days,Not at all,Several days,Not at all,Not at all,Not at all,10.01 PM to 12.00 AM,31-60,Within 5.00 AM,4-6 hours,5-7 hours,Less then once a week,Not during last month,Less then once a week,Less then once a week,Not during last month,Not during last month,Three or more in week,Less then once a week,Less then once a week,Less then once a week,Not during last month,Less then once a week,,Farely good
2021-02-16 17:11:35.723,Yes,Facebook,Mobile Phone,Mobile data,2-5 years,Less than 1 per day,Less than 1 hour,Evening,,Many of them,Less than 5,To stay connected with people,Updates of people,No,No,No,Sometimes,Most of the times,Yes,Trying to reduce the use,,Female,Unmarried,Muslim,Masters or above,,"10,000-40,000 Tk",Urban Area,With family,48.0,1.5748,Non-smoker,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Half days,Half days,Half days,Several days,Half days,Not at all,10.01 PM to 12.00 AM,Within 15 minutes,Within 5.00 AM,,5-7 hours,Once or twice a week,Once or twice a week,Not during last month,Once or twice a week,Three or more in week,Less then once a week,Less then once a week,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Not during last month,Very good
2021-02-20 23:00:21.018,Yes,Facebook,Mobile Phone,Broadband (Wi-Fi),5-10 years,Less than 1 per day,3-5 hours,Frequently at anytime,Less than 500,All of them,,For time pass,,No,No,Yes,Sometimes,Never,Yes,Trying to reduce the use,1995.0,Female,Married,Muslim,Masters or above,Self-employed/Entrepreneur/Business,"Above 70,000 Tk",Urban Area,,48.0,1.5748,Non-smoker,,Never,Sometimes,,Never,Often,Rarely,Often,Several days,Several days,Not at all,,,Not at all,Not at all,Several days,Not at all,Several days,Several days,Several days,Several days,Several days,,Not at all,12.01 AM to 2.00 AM,Within 15 minutes,After 9.00 AM,4-6 hours,8-10 hours,Three or more in week,Three or more in week,Once or twice a week,Less then once a week,,Not during last month,Once or twice a week,Once or twice a week,Not during last month,Once or twice a week,Not during last month,Once or twice a week,Once or twice a week,Farely good
